Bicycle ID,Rental Date,Return Date,Member ID
141,2024-09-20,2024-10-04,1005
197,2023-08-19,2023-08-23,1044
68,2022-02-25,2022-03-08,1005
166,2021-11-07,2021-11-18,1006
166,2024-05-22,2024-06-01,1003
145,2021-03-12,2021-03-23,1044
192,2021-11-25,2021-12-01,1030
167,2022-06-19,2022-06-30,1044
94,2023-01-20,2023-01-24,1030
19,2024-10-21,2024-10-26,1030
198,2022-11-08,2022-11-20,1040
43,2023-03-23,2023-04-06,1005
22,2024-09-25,2024-10-07,1002
31,2021-04-04,2021-04-07,1040
126,2022-07-10,2022-07-17,1044
114,2024-08-22,2024-08-29,1001
127,2024-01-28,2024-02-06,1001
198,2021-05-12,2021-05-20,1002
126,2023-09-27,2023-10-07,1002
137,2022-04-05,2022-04-16,1006
140,2022-07-29,2022-08-08,1003
38,2021-04-04,2021-04-07,1030
116,2024-04-14,2024-04-20,1006
166,2021-04-18,2021-04-25,1005
145,2021-05-05,2021-05-18,1030
167,2023-08-11,2023-08-20,1005
104,2022-07-16,2022-07-22,1006
53,2022-01-02,2022-01-11,1040
109,2024-09-30,2024-10-14,1001
26,2023-09-22,2023-10-02,1005
137,2022-09-03,2022-09-07,1003
138,2024-04-16,2024-04-24,1044
52,2023-02-08,2023-02-13,1040
113,2021-03-16,2021-03-27,1030
2,2023-02-12,2023-02-26,1003
115,2024-05-28,2024-06-10,1005
200,2023-09-09,2023-09-20,1030
85,2022-03-17,2022-03-23,1044
133,2023-12-18,2023-12-28,1044
110,2023-07-19,2023-07-28,1040
96,2023-04-23,2023-04-30,1040
56,2021-05-04,2021-05-18,1001
57,2022-09-20,2022-09-24,1006
177,2023-01-27,2023-02-10,1002
50,2023-03-06,2023-03-09,1001
198,2023-10-26,2023-11-07,1001
61,2024-06-12,2024-06-26,1005
81,2024-05-07,2024-05-13,1003
170,2023-12-02,2023-12-06,1040
118,2023-06-10,2023-06-17,1005
35,2022-06-29,2022-07-06,1044
150,2022-05-17,2022-05-31,1030
149,2021-05-21,2021-05-27,1003
62,2021-02-03,2021-02-15,1003
6,2024-06-11,2024-06-25,1002
41,2022-10-16,2022-10-21,1003
56,2021-02-15,2021-02-20,1006
173,2023-10-30,2023-11-12,1002
170,2024-09-28,2024-10-07,1044
149,2022-01-11,2022-01-25,1040
41,2021-11-22,2021-12-02,1040
53,2023-06-09,2023-06-18,1044
90,2022-01-28,2022-02-05,1003
132,2023-06-26,2023-07-02,1030
186,2023-04-07,2023-04-12,1001
126,2021-08-18,2021-08-23,1002
