Bicycle ID,Rental Date,Return Date,Member ID
28,2022-02-11,2022-03-02,1006
152,2022-03-11,2022-03-27,1030
124,2024-06-20,missing,1002
124,2024-06-20,2024-07-04,1002
10,2022-02-25,2022-03-07,1040
36,2022-06-18,2022-06-24,1040
11,2024-06-04,2024-06-22,1001
33,2021-08-01,2021-08-11,1006
81,2021-12-15,2021-12-20,1003
80,2022-08-05,2022-08-10,1030
37,2023-08-07,2023-08-13,1002
139,2022-08-08,2022-08-04,1001
77,2022-11-22,2022-12-05,1005
176,2022-03-02,2022-03-15,1003
200,2024-07-09,2024-07-26,1030
97,2023-10-18,2023-11-03,1040
56,2024-10-15,2024-10-29,1002
178,2024-08-27,2026-130-01,1044
120,2022-12-07,2022-12-28,1005
145,2022-12-18,2022-12-21,1001
141,2023-12-20,2024-01-04,1030
8,2024-08-17,2024-08-22,1006
175,2021-03-21,2021-03-07,1040
155,2023-11-27,2023-11-21,1002
73,2024-01-31,2024-02-10,1002
110,2023-04-20,2023-04-11,1001
182,2023-10-29,2023-11-13,1006
110,2023-12-05,2023-12-08,1044
192,2021-12-05,2021-12-02,1030
180,2023-09-12,2023-10-03,1003
109,2024-04-12,2024-04-06,1005
11,2024-07-05,2024-07-12,1002
175,2021-05-10,2021-05-03,1001
32,2024-07-05,2024-06-25,1003
143,2021-01-29,2021-02-06,1006
104,2022-08-31,2022-09-13,1003
81,2023-02-27,2023-02-16,1003
132,2022-03-27,2022-04-13,1044
151,2021-08-13,2021-08-23,1003
11,2021-03-30,2021-04-17,1005
135,2022-03-12,2022-03-06,1044
104,2021-05-21,2021-05-26,1002
41,2023-01-06,2023-01-14,1044
150,2024-10-18,2024-10-28,1044
15,2022-01-08,2022-01-15,1040
123,2022-07-01,2022-07-10,1002
83,2024-03-24,2024-04-05,1030
171,2023-01-24,2023-01-30,1040
107,2024-11-05,2024-11-21,1030
157,2024-09-30,2024-10-19,1001
107,2021-11-14,2021-11-23,1044
60,2023-09-25,2023-10-15,1006
11,2023-10-17,2023-10-31,1044
27,2023-07-08,2023-07-20,1006
4,2022-09-12,2022-09-26,1006
112,2023-10-10,2023-10-29,1030
54,2023-03-23,2023-03-30,1006
186,2021-10-29,2021-11-18,1040
55,2023-07-21,2023-08-06,1005
184,2024-02-14,2024-03-02,1002
73,2022-04-25,2022-05-04,1002
191,2021-07-12,2021-07-16,1003
174,2023-08-29,2023-09-08,1040
18,2021-03-11,2021-03-08,1005
104,2023-01-04,2023-01-08,1003
38,2022-06-02,2022-06-21,1003
88,2022-01-24,2022-02-04,1030
6,2022-09-03,2022-08-28,1030
11,2023-10-22,2026-130-01,1030
12,2021-09-26,2021-10-17,1006
151,2022-03-08,2022-03-12,1040
87,2022-06-30,2022-07-10,1044
59,2023-08-04,2023-08-13,1002
75,2024-09-18,2024-09-28,1006
90,2024-04-19,2024-05-08,1002
42,2023-04-01,2023-04-09,1003
167,2022-10-29,2022-11-09,1006
69,2021-04-10,2021-04-28,1030
4,2024-05-16,2024-05-23,1002
60,2022-05-07,2022-05-20,1005
101,2021-09-03,2021-09-16,1044
77,2024-03-05,2024-03-11,1003
64,2023-06-24,2023-07-10,1003
189,2021-04-21,2026-130-01,1040
174,2022-01-11,2022-01-19,1044
76,2022-03-04,2022-03-19,1001
28,2021-07-07,2021-07-13,1006
19,2024-03-20,2024-03-31,1006
143,2022-03-16,2022-03-20,1044
143,2021-09-08,2021-09-12,1040
163,2022-12-28,2023-01-17,1003
135,2022-06-24,2022-07-03,1001
33,2022-08-11,2022-08-25,1001
145,2023-08-04,2026-130-01,1005
121,2022-03-27,2022-04-08,1003
106,2022-10-22,2022-11-04,1044
99,2023-08-22,2023-09-06,1044
79,2023-09-21,missing,1005
79,2023-09-21,2023-09-29,1005
19,2022-05-17,2022-05-29,1005
61,2022-04-01,2022-04-16,1002
183,2023-02-08,2023-02-28,1040
80,2024-01-05,2024-01-17,1005
103,2022-07-06,2022-07-13,1003
87,2023-12-19,2024-01-01,1002
127,2022-01-04,2022-01-17,1044
95,2022-06-14,missing,1005
95,2022-06-14,2022-06-21,1005
147,2021-10-02,2021-10-14,1030
11,2023-07-10,2023-07-16,1040
89,2023-07-11,2023-07-28,1030
174,2021-02-21,2021-03-09,1044
181,2021-12-02,2021-12-18,1030
164,2021-06-14,missing,1005
164,2021-06-14,2021-06-24,1005
134,2022-01-29,2022-02-05,1040
184,2022-12-12,2022-12-24,1002
171,2022-10-05,2022-10-13,1003
179,2023-11-11,2023-11-30,1006
96,2023-08-12,2023-08-15,1001
155,2021-05-26,2021-06-15,1001
139,2021-10-26,2021-11-03,1001
131,2021-04-09,2021-04-16,1044
128,2023-12-29,2024-01-14,1002
127,2023-03-02,missing,1001
127,2023-03-02,2023-03-14,1001
193,2023-02-02,2023-01-25,1044
70,2021-11-02,2021-11-15,1006
173,2024-06-16,2024-06-23,1030
171,2021-10-26,2021-11-06,1005
104,2023-08-10,2023-08-27,1030
193,2023-01-18,2023-01-09,1002
64,2021-06-25,missing,1005
64,2021-06-25,2021-07-12,1005
8,2023-04-18,missing,1003
8,2023-04-18,2023-04-26,1003
130,2021-06-13,2021-06-25,1005
25,2023-06-15,2023-06-19,1040
139,2024-06-06,2024-06-27,1030
98,2024-08-06,2024-08-09,1001
71,2021-06-30,2021-07-04,1030
159,2023-08-07,missing,1006
159,2023-08-07,2023-08-20,1006
28,2023-02-08,2023-01-30,1002
130,2023-04-24,2026-130-01,1006
41,2023-02-05,2023-01-26,1003
96,2023-12-25,2023-12-15,1040
112,2021-10-10,2021-10-18,1044
134,2023-07-07,2023-06-24,1040
1,2022-07-01,2022-07-18,1040
166,2022-01-23,2022-01-28,1044
56,2023-06-20,2023-07-02,1002
128,2023-05-04,2023-05-17,1002
200,2023-03-16,2023-04-02,1003
123,2021-04-16,2021-04-23,1044
130,2021-01-20,2021-02-07,1040
92,2023-10-14,2023-10-29,1003
29,2022-04-22,2022-05-13,1002
144,2023-07-09,2023-07-30,1003
75,2022-02-09,2022-02-21,1002
174,2024-02-03,2024-02-22,1002
40,2021-06-30,2021-07-16,1005
178,2022-02-21,2022-03-06,1001
184,2023-12-09,2023-12-24,1044
186,2022-06-30,2022-07-03,1005
145,2024-03-03,2024-03-07,1002
59,2022-11-04,2022-11-21,1040
55,2023-05-12,2023-06-02,1044
58,2021-04-18,2021-05-09,1044
172,2022-12-21,2022-12-25,1001
76,2023-05-25,2023-06-02,1006
106,2024-06-08,2024-06-26,1044
71,2022-05-15,2022-05-29,1044
190,2022-04-29,2022-05-06,1005
57,2022-11-11,2022-12-02,1003
186,2022-06-14,2022-06-24,1002
52,2021-09-12,2021-09-19,1006
190,2022-09-15,2022-09-27,1001
152,2021-08-17,2021-09-07,1040
29,2022-07-03,2022-07-13,1005
178,2022-04-21,2022-05-07,1040
154,2023-07-23,2023-07-30,1003
1,2021-08-03,2021-08-12,1040
155,2021-05-07,2021-05-21,1001
105,2022-10-21,2022-11-05,1001
180,2021-04-06,2021-04-09,1002
67,2021-07-23,2021-08-04,1044
64,2021-05-27,2021-06-02,1005
145,2024-10-24,2024-10-31,1044
16,2023-04-08,2023-04-13,1040
198,2023-02-26,2023-03-18,1002
148,2024-05-04,2024-05-08,1003
15,2024-02-20,2024-03-08,1006
181,2021-11-09,2021-11-20,1006
48,2023-05-05,2023-05-22,1044
31,2022-06-04,2022-06-18,1001
17,2024-03-15,2024-03-23,1001
68,2024-01-10,2024-01-28,1006
194,2021-10-23,2021-11-07,1006
58,2021-02-13,2021-02-23,1001
97,2021-01-21,2021-02-08,1040
113,2022-05-06,2022-05-27,1003
190,2023-05-17,2023-05-21,1003
139,2021-10-25,2021-11-02,1002
133,2022-11-10,2022-11-26,1001
141,2023-11-04,2023-11-20,1040
109,2021-11-19,2021-12-01,1001
186,2023-03-11,2023-03-28,1001
133,2024-10-11,2024-10-29,1002
190,2021-03-31,2021-04-10,1003
153,2023-11-14,2023-12-02,1003
79,2023-07-27,2023-08-09,1030
45,2023-01-28,2023-02-11,1001
141,2023-08-06,2023-08-16,1040
35,2021-03-15,2021-03-31,1044
109,2022-09-26,2022-10-11,1044
187,2023-08-07,2023-08-27,1044
105,2024-10-02,2024-10-09,1005
75,2022-10-12,2022-10-24,1001
117,2024-10-18,2024-11-05,1002
167,2023-03-10,2023-03-29,1006
121,2023-10-29,2023-11-17,1005
110,2022-08-12,2022-09-01,1030
124,2022-07-23,2022-08-09,1002
172,2022-07-30,2022-08-17,1044
4,2023-08-17,2023-09-05,1044
2,2021-01-21,2021-02-07,1006
113,2022-05-31,2022-06-12,1002
119,2023-04-17,2023-05-07,1006
48,2023-03-16,2023-04-06,1003
17,2024-03-26,2024-04-11,1006
92,2023-08-22,2023-09-02,1003
195,2024-08-01,2024-08-05,1003
2,2023-08-11,2023-08-15,1003
64,2021-06-30,2021-07-05,1002
63,2022-06-25,2022-06-28,1006
38,2022-01-30,2022-02-03,1044
160,2022-03-23,2022-04-12,1006
88,2024-05-16,2024-05-30,1006
136,2021-05-29,2021-06-06,1044
85,2023-12-26,2024-01-15,1005
124,2023-06-14,2023-07-04,1002
129,2021-07-19,2021-07-30,1030
27,2023-02-25,2023-03-03,1044
34,2022-05-10,2022-05-22,1001
14,2022-08-07,2022-08-26,1002
75,2022-11-27,2022-12-16,1001
103,2024-10-31,2024-11-20,1040
137,2022-03-23,2022-04-03,1040
168,2024-02-04,2024-02-21,1006
16,2024-11-01,2024-11-05,1030
62,2022-10-14,2022-10-18,1005
89,2022-04-29,2022-05-14,1005
92,2024-08-25,2024-08-29,1030
115,2023-01-01,2023-01-22,1044
113,2022-09-30,2022-10-07,1030
32,2024-06-14,2024-06-23,1040
125,2021-10-24,2021-11-06,1003
49,2023-02-20,2023-03-08,1006
153,2024-01-08,2024-01-20,1001
97,2024-02-19,2024-02-27,1003
110,2023-12-06,2023-12-09,1030
24,2022-08-23,2022-08-28,1005
107,2023-12-18,2023-12-24,1006
26,2022-09-13,2022-10-01,1002
127,2022-04-20,2022-05-01,1030
23,2022-06-26,2022-07-06,1002
23,2022-01-05,2022-01-10,1030
134,2022-08-19,2022-09-06,1030
67,2024-10-31,2024-11-07,1002
199,2024-06-30,2024-07-16,1003
185,2022-12-19,2023-01-09,1044
53,2021-06-10,2021-06-24,1040
87,2023-08-17,2023-08-25,1003
136,2021-04-26,2021-05-08,1044
37,2024-08-15,2024-08-21,1040
114,2021-06-18,2021-06-22,1005
52,2024-01-16,2024-01-25,1003
107,2021-12-06,2021-12-25,1001
105,2023-01-19,2023-02-01,1001
150,2022-09-10,2022-09-21,1030
165,2022-08-21,2022-08-29,1002
178,2022-11-12,2022-11-23,1040
123,2022-08-31,2022-09-16,1001
50,2024-05-14,2024-05-19,1044
52,2023-03-29,2023-04-04,1002
120,2022-08-31,2022-09-05,1040
113,2022-04-23,2022-05-11,1044
33,2021-06-05,2021-06-08,1030
196,2022-12-24,2023-01-14,1003
78,2023-06-10,2023-07-01,1001
132,2022-09-08,2022-09-15,1044
41,2023-08-08,2023-08-11,1005
107,2022-04-14,2022-04-23,1001
18,2022-02-14,2022-03-05,1006
191,2023-11-25,2023-12-05,1002
87,2021-06-19,2021-06-27,1030
43,2023-04-08,2023-04-24,1001
186,2023-12-30,2024-01-10,1005
106,2021-07-24,2021-08-08,1002
169,2024-09-08,2024-09-16,1044
47,2023-09-08,2023-09-19,1006
16,2022-07-12,2022-07-20,1040
42,2024-02-16,2024-02-21,1003
5,2021-08-04,2021-08-14,1005
117,2021-06-16,2021-06-30,1040
3,2024-09-29,2024-10-10,1030
152,2024-04-04,2024-04-19,1044
106,2021-01-24,2021-02-06,1006
179,2021-05-17,2021-05-24,1006
22,2022-03-20,2022-04-09,1002
32,2023-05-21,2023-05-28,1040
118,2022-06-20,2022-06-23,1044
145,2021-03-11,2021-03-14,1001
61,2024-02-17,2024-03-09,1002
140,2022-06-17,2022-06-26,1003
5,2024-07-13,2024-07-17,1003
57,2021-04-07,2021-04-15,1002
132,2021-08-02,2021-08-20,1003
96,2022-10-15,2022-10-28,1030
76,2024-09-18,2024-10-01,1044
149,2022-08-02,2022-08-09,1005
169,2024-10-25,2024-10-30,1001
101,2021-05-18,2021-05-30,1005
15,2021-06-03,2021-06-12,1002
85,2022-08-14,2022-08-27,1006
79,2022-12-26,2023-01-04,1006
77,2021-11-26,2021-12-01,1003
190,2023-01-30,2023-02-17,1003
157,2021-10-11,2021-10-18,1030
8,2021-09-23,2021-10-04,1001
87,2021-06-23,2021-07-11,1001
78,2021-06-10,2021-06-24,1003
106,2022-09-26,2022-10-17,1044
80,2023-08-12,2023-08-26,1030
129,2022-04-18,2022-04-26,1002
113,2023-02-15,2023-03-05,1003
179,2024-06-02,2024-06-19,1005
193,2024-03-23,2024-04-06,1005
188,2024-02-15,2024-02-21,1005
198,2023-10-03,2023-10-11,1040
48,2021-05-19,2021-06-07,1006
58,2024-09-04,2024-09-16,1005
68,2023-12-29,2024-01-06,1001
16,2021-04-14,2021-04-22,1006
180,2023-10-06,2023-10-19,1005
105,2023-09-17,2023-10-01,1030
140,2024-01-26,2024-01-31,1044
66,2021-10-21,2021-11-06,1005
166,2024-11-04,2024-11-07,1002
5,2024-07-26,2024-07-29,1044
3,2024-10-23,2024-11-08,1040
176,2022-11-10,2022-11-18,1005
93,2023-02-02,2023-02-13,1001
177,2023-10-10,2023-10-21,1044
182,2023-12-17,2024-01-01,1044
174,2022-05-01,2022-05-21,1003
70,2021-09-05,2021-09-21,1030
109,2022-10-18,2022-10-23,1002
24,2024-07-30,2024-08-03,1005
52,2021-04-19,2021-04-22,1006
78,2024-06-13,2024-06-18,1001
130,2024-10-14,2024-10-19,1040
55,2022-12-17,2022-12-26,1030
93,2023-12-22,2024-01-03,1001
80,2023-01-10,2023-01-19,1003
2,2023-06-17,2023-06-25,1002
16,2021-02-16,2021-02-23,1001
198,2021-04-12,2021-04-16,1044
80,2021-04-19,2021-05-06,1040
164,2021-07-24,2021-08-05,1001
20,2022-01-31,2022-02-16,1040
180,2023-03-30,2023-04-08,1005
60,2021-11-18,2021-12-02,1005
140,2023-06-29,2023-07-05,1030
10,2022-03-10,2022-03-24,1003
133,2021-02-15,2021-03-01,1006
150,2024-01-22,2024-02-06,1040
125,2023-10-06,2023-10-27,1006
177,2023-07-01,2023-07-11,1003
63,2023-02-01,2023-02-14,1030
74,2024-06-19,2024-06-22,1040
72,2023-06-24,2023-07-09,1002
127,2023-11-28,2023-12-08,1002
54,2024-02-03,2024-02-11,1005
103,2024-03-26,2024-04-06,1030
42,2023-06-16,2023-06-23,1001
132,2021-06-26,2021-07-14,1001
181,2022-08-26,2022-08-30,1040
56,2021-02-12,2021-02-16,1002
131,2023-05-05,2023-05-21,1002
136,2021-10-16,2021-10-30,1044
42,2023-10-23,2023-11-11,1030
24,2021-10-15,2021-10-26,1002
189,2021-09-01,2021-09-04,1003
23,2024-01-21,2024-02-07,1044
8,2022-11-11,2022-11-17,1003
25,2021-10-31,2021-11-06,1005
35,2021-10-28,2021-11-13,1044
120,2022-04-15,2022-04-21,1044
188,2021-11-05,2021-11-20,1001
13,2021-08-24,2021-09-06,1003
194,2022-10-23,2022-10-26,1003
177,2022-07-26,2022-08-03,1003
17,2022-06-10,2022-06-15,1003
67,2021-05-25,2021-06-11,1044
199,2021-10-03,2021-10-24,1003
54,2022-05-03,2022-05-23,1001
144,2022-05-05,2022-05-19,1040
3,2023-07-03,2023-07-19,1044
145,2024-02-01,2024-02-21,1030
38,2022-02-23,2022-02-28,1003
124,2023-01-05,2023-01-20,1002
61,2023-02-24,2023-03-10,1002
32,2024-04-15,2024-04-19,1030
162,2023-01-21,2023-01-27,1002
191,2024-10-22,2024-11-08,1001
52,2022-04-15,2022-04-28,1005
49,2023-01-17,2023-01-28,1044
57,2021-10-23,2021-11-04,1040
186,2021-09-12,2021-09-25,1044
129,2024-02-16,2024-03-04,1005
67,2021-04-17,2021-04-28,1002
137,2022-02-16,2022-02-20,1044
98,2023-03-17,2023-03-29,1002
132,2021-04-23,2021-05-01,1002
176,2023-11-18,2023-12-01,1001
84,2022-10-19,2022-11-03,1001
136,2023-09-24,2023-10-12,1001
32,2021-08-29,2021-09-16,1030
87,2021-02-14,2021-03-06,1002
200,2021-11-22,2021-11-29,1006
89,2024-03-02,2024-03-05,1030
106,2022-09-28,2022-10-19,1040
197,2022-03-12,2022-03-17,1006
134,2023-11-08,2023-11-19,1040
135,2024-09-20,2024-09-25,1002
71,2021-12-01,2021-12-14,1005
80,2024-07-06,2024-07-14,1005
79,2021-10-29,2021-11-05,1001
108,2023-11-25,2023-12-02,1002
56,2023-01-17,2023-02-06,1040
157,2024-02-08,2024-02-21,1003
180,2024-10-21,2024-10-31,1040
1,2021-08-18,2021-08-27,1001
128,2022-05-30,2022-06-09,1040
15,2021-03-26,2021-04-04,1005
116,2021-09-27,2021-10-05,1044
69,2023-05-06,2023-05-17,1005
50,2023-02-21,2023-03-01,1044
130,2023-09-30,2023-10-16,1003
73,2022-04-24,2022-05-10,1003
